Doomben,doom
Redcliffe,redc
York,york
Sale,sale
Ballarat,ball
Gawler,gawl
Warwick Farm,wfrm
Bathurst,bath
Kalgoorlie,kalg
Hawkesbury,hawk
Lismore,lism
Mornington,morn
Gatton,gatt
Echuca,echu
Penrith,penr
Caulfield,caul
Morphettville,morp
Eagle Farm,efrm
Rosehill,rose
Moonee Valley,mval
Belmont,belm
Muswellbrook,musw
Swan Hill,swnh
Ipswich,ipsw
Canberra,canb
Port Lincoln,plin
Albion Park,aprk
Wagga,wagg
Melton,melt
Port Pirie,ptpr
Gloucester Park,glpk
Cambridge,camb
Addington,addi
Gore,gore
Hobart,hoba
Dapto,dapt
Angle Park,anpk
Maitland,mait
Mandurah,mand
Horsham,hshm
Warrnambool,warr
Sandown Park,sprk
Hove,hove
Monmore,monmore
Romford,romford
Sheffield,sheffield
Newcastle,newcastle
Sunderland,sunderland
Crayford,crayford
Henlow,henlow
Wimbledon,wimbledon
Hatrick,hatr
Bowraville,bowr
Kembla Grange,kemg
Murtoa,murt
Gold Coast,gcst
Toowoomba,toow
Toodyay,tood
Darwin,darw
Menangle,mngl
Cranbourne,cran
Globe Derby,glbd
Bunbury,bunb
Ellerslie,elle
Pukekura,pkur
Geelong,geel
Bendigo,bend
Casino,casi
Richmond,rich
Shepparton,shep
The Meadows,mead
Mildura,mdra
Eugowra,eugo
Devonport,devn
Alice Springs,aspr
Coleraine,cole
Murray Bridge,mbdg
Sunshine Coast,scst
Port Macquarie,pmaq
Rangiora,rang
Te Aroha,tear
Manukau,mkau
Mount Gambier,mgam
Cessnock,cess
Queanbeyan,quea
Kilmore,kilm
Northam,nort
Hamilton,haml
Pinjarra,pinj
Traralgon,trar
Launceston,laun
Manawatu,mana
Grafton,graf
Tamworth,tamw
Wangaratta,wang
Townsville,town
Ascot Park,aspk
Naracoorte,nara
Ruakaka,ruak
Randwick,rand
Beaudesert,beau
Wyong,wyng
Flemington,flem
Waverley,wave
Cannington,cann
Warragul,wgul
Leeton,leet
Benalla,bena
Rockhampton,rock
Pakenham,pakn
Alexandra Park,alex
Te Rapa,trap
Hastings,hast
Riccarton Park,ricc
Ballina,bali
Bairnsdale,bair
Kellerberrin,kell
Motukarara,motu
Te Awamutu,teaw
Bulli,bull
Wentworth Park,wprk
Healesville,heal
Strathalbyn,stra
Charlton,char
Ararat,arar
Stawell,staw
Nowra,nowr
Forbury Park,fprk
Gosford,gosf
Goulburn,goul
Avondale,avon
Canterbury,cant
Geraldton,gera
Tauherenikau,tauh
Young,youn
Phar Lap,plap
The Gardens,gard
Gunnedah,gunn
Manangatang,mtng
Mackay,mack
Warwick,warw
Narrogin,ngin
Hawera,hawe
Coonamble,cnbl
Dubbo,dubb
Winton,wint
Yarra Valley,yarv
Bankstown,bank
Moe,moe
Ascot,asct
Woodville,wood
Scone,scne
Donald,donl
Coffs Harbour,coff
Tauranga,taur
Wodonga,wodg
Narromine,narr
Rotorua,roto
Ashburton,ashb
Bordertown,bord
Parkes,park
Mt Harding,mtha
Narrandera,ndra
Maryborough,mary
Cowra,cowr
Balaklava,bala
Matamata,mata
Oamaru,oama
Taree,tare
Pukekohe,puke
St Arnaud,star
Armidale,armi
Trentham,tren
Coonabarabran,cona
Moree,mree
Wagin,wagi
Temora,temo
Mortlake,mort
Awapuni,awap
Mount Barker,mtbk
Kaikoura,kaik
Terang,tera
Griffith,grif
Wingatui,wing
Otaki,otak
Kyneton,kyne
Kempsey,kemp
Warren,warn
Wyndham,wynd
Quirindi,quir
Cobram,cobr
